,,SCF,MP2,CCSD,CCSD(T)
aug-cc-pVDZ,bromine,6.129228380865224,6.116447444274226,6.147998442363495,6.158186145850199
aug-cc-pVDZ,chlorine,4.21221216715428,4.238329722214067,4.252160295728538,4.265496919812879
aug-cc-pVDZ,nitrogen,1.6972088955092657,1.7026423350290285,1.7288216340308107,1.747900415590031
aug-cc-pVDZ,oxygen,1.609903403138557,1.304704640992371,1.5053096943134736,1.5059888742534442
aug-cc-pVDZ,carbon_monoxide,1.8030992205355234,1.9350453575570026,1.9130954970409857,1.9303528415682336
aug-cc-pVDZ,nitrogen_monoxide,1.5334064694207854,1.5351575923033984,1.613583793466428,1.6238863119704765
aug-cc-pVDZ,sulfur_monoxide,3.360891000648809,3.113113813953353,3.3323654424681117,3.3320258529368423
aug-cc-pVDZ,carbon_dioxide,2.2989005680272983,2.5798340835463374,2.5184609152868593,2.54433149615804
aug-cc-pVDZ,sulfur_dioxide,3.5443930668847194,3.8696893812020243,3.8189669901593066,3.8592547093177507
aug-cc-pVDZ,ethene,4.0702944346108705,3.981074889602297,3.9180963873620147,3.9387187595742454
aug-cc-pVDZ,propane,5.684735994453537,5.926369689411163,5.822547775956456,5.881204224192824
aug-cc-pVDZ,1-3-butadiene,8.361044499296954,8.038958854520631,7.869071257519624,7.921923804075888
aug-cc-pVDZ,isobutene,7.500060453908527,7.62913551170998,7.486847316830745,7.556123669830288
aug-cc-pVDZ,1-pentene,9.269355036554707,9.469898346723502,9.28284602036242,9.378178184567501
aug-cc-pVDZ,water,1.2084771941471277,1.3641637564384979,1.332242299961837,1.353821698405257
aug-cc-pVDZ,methanol,2.8783336614599975,3.0751723532718795,3.0228754988593387,3.0587485478815175
aug-cc-pVDZ,ethanol,4.566219269109206,4.857556586077023,4.769324939314508,4.828320977696347
aug-cc-pVDZ,methylformate,4.561650240565712,4.98410015533038,4.891731685249277,4.967985067631905
aug-cc-pVDZ,methylacetate,6.2227391128641925,6.728604671483789,6.605426129915415,6.703042808830953
aug-cc-pVDZ,acetone,5.743176339638738,6.118392378227715,6.017842877027586,6.097800877854868
aug-cc-pVDZ,acetaldehyde,4.123270468963383,4.396362543421122,4.329710295014284,4.386360075708838
aug-cc-pVDZ,acetic_acid,4.557667776268554,4.988082619627538,4.897412099133132,4.9731097891088085
aug-cc-pVDZ,dimethyl_ether,4.587953026837284,4.8879653238278005,4.79920885632223,4.862002127438471
aug-cc-pVDZ,N-methylacetamide,6.914391253483076,7.525745803567922,7.372837704715199,7.493021679969243
aug-cc-pVDZ,dimethyl_sulfide,6.861291731860775,7.137594475333041,7.0398234368696135,7.109655482100622
aug-cc-pVDZ,dimethyl_sulfone,7.210544573533966,7.939304634907752,7.745151791806054,7.879104596544832
aug-cc-pVDZ,fluoromethane,2.2969865153894333,2.4336560397126075,2.4011788903025364,2.424548854114031
aug-cc-pVDZ,phosphine,4.29284934844799,4.397504801127325,4.356321800030659,4.380154840730957
aug-cc-pVDZ,hydrogen_sulfide,3.3474308888559627,3.4440287970718604,3.4243634518805055,3.4460045940904345
aug-cc-pVDZ,silane,4.408773013376886,4.557606032765274,4.572486247414883,4.596288416977741
aug-cc-pVDZ,ammonia,1.8650589531290784,2.0487462516296895,2.006853198929156,2.0364592694701726
aug-cc-pVDZ,dimethyl_amine,5.228574057844134,5.5705411508629785,5.461038823612159,5.534513743258084
aug-cc-pVDZ,trimethyl_amine,6.940971886309097,7.469466484945965,7.300690273109832,7.4177253233790905
aug-cc-pVDZ,acetonitrile,4.1769565550075045,4.245677215073637,4.22703063865158,4.274017541340606
aug-cc-pVDZ,imidazole,6.921213924195705,7.181092862102123,7.075974332709471,7.169083726409309
aug-cc-pVDZ,pyrrole,7.822948766157839,8.020250535121752,7.883117933032346,7.969713373535959
aug-cc-pVDZ,pyrazole,6.92241792487873,7.190570509422323,7.079771565619358,7.160871823275414
aug-cc-pVDZ,furan,6.964619696324067,7.091688085969506,6.9807965273503365,7.055475447328315
aug-cc-pVDZ,thiophene,9.15352398837236,9.359778583386964,9.23002434599651,9.316465426776752
aug-cc-pVDZ,pyridine,9.113236269389402,9.353635091912361,9.152875679745316,9.225239213348935
aug-cc-pVDZ,phenol,10.534574627090024,10.942020839321094,10.686340469113974,10.792786486371698
aug-cc-pVDZ,chlorobenzene,11.849713942423472,12.17695517876122,11.936648971229951,12.040347397239382
aug-cc-pVDZ,fluorobenzene,9.824245038385184,10.103974552519254,9.880030407577012,9.96051322826992
aug-cc-pVDZ,toluene,11.756573676006818,12.062328130735443,11.780067126473902,11.878424729183665
aug-cc-pVDZ,benzene,9.960266254607772,10.128918979086372,9.898491752787285,9.965236616536787
aug-cc-pVDZ,cytosine,10.37129359845242,11.53540799380128,11.26237766249585,11.470947644060297
aug-cc-pVTZ,bromine,6.457148795563569,6.519262881650747,6.4970969339650395,6.525560732673235
aug-cc-pVTZ,chlorine,4.4020738284424175,4.485489472472831,4.458816224304148,4.483822396655863
aug-cc-pVTZ,nitrogen,1.7340080989232511,1.7222150656674062,1.741540821766205,1.7607430905952146
aug-cc-pVTZ,oxygen,1.6789945249263145,1.3569397518138893,1.5614963970663096,1.5629165008005022
aug-cc-pVTZ,carbon_monoxide,1.8336005738044492,1.9593414755848177,1.926679095577163,1.9467766470463383
aug-cc-pVTZ,nitrogen_monoxide,1.584359612906333,1.5645420766469817,1.650691589275332,1.6649423270462151
aug-cc-pVTZ,sulfur_monoxide,3.4574889085137337,3.2301488640471256,3.420597090283543,3.4244869385360945
aug-cc-pVTZ,carbon_dioxide,2.3535436803903527,2.6385522750227555,2.5559392984653297,2.5908244494169366
aug-cc-pVTZ,sulfur_dioxide,3.6016602836649922,3.9246720846757235,3.8345263845733997,3.887718521362878
aug-cc-pVTZ,ethene,4.107155381703622,4.0016355182235035,3.9386570159832224,3.954062051463629
aug-cc-pVTZ,propane,5.691219075634895,5.9285615885157315,5.814551976049214,5.877653965822514
aug-cc-pVTZ,1-3-butadiene,8.393058571291766,8.040656804282815,7.885958139798788,7.9207198033928625
aug-cc-pVTZ,isobutene,7.515558104643854,7.628641562806308,7.4806112103644535,7.548035254229409
aug-cc-pVTZ,1-pentene,9.280283659448484,9.464927984268025,9.270960371325197,9.364810689170232
aug-cc-pVTZ,water,1.25074070865703,1.4169854318573234,1.3701220167013153,1.39957372813316
aug-cc-pVTZ,methanol,2.90269152351755,3.1024012941984864,3.03624299469532,3.079278304751085
aug-cc-pVTZ,ethanol,4.5849275886835725,4.875493110895214,4.770127606261039,4.837551650125997
