,,RI-JK,RI-JK,RI-JK,RI-JK,RI-JK,RI-JK,RI-MP2,RI-MP2,RI-MP2,RI-MP2,RI-MP2,RI-MP2
,,xx,yy,zz,xy,yz,zx,xx,yy,zz,xy,yz,zx
aug-cc-pVDZ,0056,13.933070483434863,5.423991555666836,4.672499150459813,-1.253572558915703,1.3692267341347453e-06,-1.615213355202243e-06,13.744794266371365,5.666102313730884,4.784854772529192,-1.0459074244656583,1.8389722695467737e-06,-1.7915531618711115e-06
aug-cc-pVDZ,0093,6.518648718352338,9.436692500511354,5.419066513787273,0.5423153317727524,0.0,0.0,6.648177761523456,9.454571082272256,5.570549362024342,0.5658886001314294,0.0,0.0
aug-cc-pVDZ,0097,8.139306252415741,7.31574254125374,5.5282631608504325,1.465641695572017,0.0,-0.0,8.36477059348598,7.467083733797709,5.713854725868857,1.464944997741728,0.0,-0.0
aug-cc-pVDZ,0103,6.110858207602294,9.410126470009944,5.058141445211672,0.7065338720649568,-0.0,-0.0,6.1585755962837085,9.32291416443623,5.162996339502163,0.4859019233471176,-0.0,-0.0
aug-cc-pVDZ,0112,15.09340554788966,5.0906626725154975,5.081552403892164,0.36343292588693865,-2.6673248067559973e-08,-8.09829448273418e-06,15.905564163458221,5.183259694871194,5.176186668179528,0.3224648099395361,-3.8528024986475515e-08,-7.029882712916918e-06
aug-cc-pVDZ,0117,9.773816902397419,6.750645986923358,6.311671807048932,0.32021173993928176,-0.0,-0.0,10.078534279973109,6.99755319810173,6.489590984154989,0.35691799245567274,-0.0,-0.0
aug-cc-pVDZ,0119,5.032986196883037,5.194814347366548,16.985872905790995,0.0,-0.0,0.0,5.031894041476899,5.3202494766949595,15.121353439353706,0.0,-0.0,-0.0
aug-cc-pVDZ,0129,16.62038102743031,11.814674629937038,7.9239698740393,0.9360419590438291,1.5203751398509185e-05,1.4413926886286437e-05,17.53908286646306,12.587680701979954,8.13208638504792,0.6823453185564814,1.6881202332535732e-05,1.3877498230705508e-05
aug-cc-pVDZ,0142,6.9040083433578,6.306935063482255,4.301389614878076,1.415844359606932,-0.0,-0.0,6.703569651231224,6.509162319885072,4.391210206987642,1.3185544267222176,-0.0,-0.0
aug-cc-pVDZ,0158,2.0139968094623484,2.0139968094623484,3.4994746468438755,0.0,0.0,-0.0,2.064241879605801,2.064241879605801,3.6472892566404522,0.0,0.0,-0.0
aug-cc-pVDZ,0159,12.997526207190102,7.555083152103426,5.747835271765861,-0.3549085055204656,-0.0001803200480193946,5.51158215902681e-05,14.57685759029729,7.976426011226537,5.993336899091134,-0.2357223328846727,-0.00019749317423355863,4.6767094945121814e-05
aug-cc-pVDZ,0205,4.382059288334252,4.382059288334252,12.374323417854395,0.0,-0.0,-0.0,4.297918254645265,4.297918254645265,12.084359084913535,0.0,-0.0,-0.0
aug-cc-pVDZ,0213,8.206956720899377,9.802130359617315,11.747315500005419,1.286876035529301,0.0,0.0,8.503187194031998,10.124793197677894,11.994779718250257,1.3300126598713482,0.0,0.0
aug-cc-pVDZ,0223,4.519814285635204,8.018686558663193,5.560102787382377,0.0,0.0,0.0,4.6049035621840755,8.002599368542826,5.6290312423095905,0.0,0.0,-0.0
aug-cc-pVDZ,0245,9.08323195522593,7.967939887716899,7.144727058687687,-1.7989623974454338e-06,-0.056915041829111515,1.0254382034861945e-06,9.842796826320475,8.687087670677398,7.8863002801227715,-1.441837242763103e-06,-0.05830049627100114,1.093603170769959e-06
aug-cc-pVDZ,0256,7.031342366407543,7.8197614963084,7.242935427077571,0.0,0.0,0.0,7.7781924261546465,8.5287800584869,7.998146527619346,0.0,0.0,0.0
aug-cc-pVDZ,0257,6.676016966910864,7.339418291195186,8.119505876468194,0.6394106625669547,0.0,0.0,7.3439776132068,7.999511581472005,8.658331942849447,0.7680130504269584,0.0,0.0
aug-cc-pVDZ,0267,17.052133506892034,12.737200775548416,8.205988676116496,2.085429627505403,-3.586070017971952e-07,-4.275128926383918e-06,18.565384789731553,13.947903029167403,8.434413143128612,2.3554135993481453,-7.12768462249797e-07,-3.114842635445059e-06
aug-cc-pVDZ,0276,14.821252511959605,9.358847131336047,6.814508067320583,-3.0989381348462492,-0.0,0.0,14.305996504256179,9.14302435294447,6.8796886582344365,-2.299028592004314,-0.0,0.0
