,,RI-JK,RI-MP2
aug-cc-pVDZ,bromine,6.128756781950521,6.115716208248635
aug-cc-pVDZ,chlorine,4.211874310935318,4.237804608772541
aug-cc-pVDZ,nitrogen,1.697130863958752,1.7025386076570008
aug-cc-pVDZ,oxygen,1.6099874756367072,1.304445118701792
aug-cc-pVDZ,carbon_monoxide,1.8028704091220398,1.934880574612798
aug-cc-pVDZ,nitrogen_monoxide,1.5333238187797722,1.536547272905552
aug-cc-pVDZ,sulfur_monoxide,3.360620041433695,3.1126307662280372
aug-cc-pVDZ,carbon_dioxide,2.298731939054593,2.579646016204473
aug-cc-pVDZ,sulfur_dioxide,3.5441438982377194,3.869294066075501
aug-cc-pVDZ,ethene,4.069534657470527,3.9801390289826117
aug-cc-pVDZ,propane,5.683715667579882,5.925045012095931
aug-cc-pVDZ,1-3-butadiene,8.359215835241516,8.035842421852417
aug-cc-pVDZ,isobutene,7.498735659695104,7.627235344683169
aug-cc-pVDZ,1-pentene,9.267307700302537,9.467016608904343
aug-cc-pVDZ,water,1.2082737956518599,1.3639128817515414
aug-cc-pVDZ,methanol,2.8779115657961802,3.074779545274334
aug-cc-pVDZ,ethanol,4.565559217752912,4.856608356138221
aug-cc-pVDZ,methylformate,4.5611041945625805,4.983359857677875
aug-cc-pVDZ,methylacetate,6.221993212939147,6.727582631047987
aug-cc-pVDZ,acetone,5.742328873108042,6.1170740435300495
aug-cc-pVDZ,acetaldehyde,4.122656509534626,4.395446258123759
aug-cc-pVDZ,acetic_acid,4.557121197470369,4.987168811332495
aug-cc-pVDZ,dimethyl_ether,4.587191407166593,4.886856007641417
aug-cc-pVDZ,N-methylacetamide,6.913418414843874,7.5240994473803156
aug-cc-pVDZ,dimethyl_sulfide,6.859723265767975,7.135435479648511
aug-cc-pVDZ,dimethyl_sulfone,7.209359308870951,7.937416040163403
aug-cc-pVDZ,fluoromethane,2.29679672377863,2.43328164078431
aug-cc-pVDZ,phosphine,4.291855917332751,4.3964764249013895
aug-cc-pVDZ,hydrogen_sulfide,3.346865220880088,3.4432547128230993
aug-cc-pVDZ,silane,4.407915578281019,4.556625695456305
aug-cc-pVDZ,ammonia,1.8646790025916247,2.048260747259242
aug-cc-pVDZ,dimethyl_amine,5.2274577386404735,5.568639571787227
aug-cc-pVDZ,trimethyl_amine,6.939281142922404,7.4661738500322405
aug-cc-pVDZ,acetonitrile,4.176440592159071,4.245028548256232
aug-cc-pVDZ,imidazole,6.919614510592261,7.179093464236778
aug-cc-pVDZ,pyrrole,7.820923961408547,8.017774594878324
aug-cc-pVDZ,pyrazole,6.9210757625019745,7.188835504546961
aug-cc-pVDZ,furan,6.963089325046557,7.089929864851954
aug-cc-pVDZ,thiophene,9.151525500408056,9.357240269671184
aug-cc-pVDZ,pyridine,9.11159572411907,9.351408457880892
aug-cc-pVDZ,phenol,10.532562636561964,10.939371530291401
aug-cc-pVDZ,chlorobenzene,11.847406586273529,12.174056495517986
aug-cc-pVDZ,fluorobenzene,9.822511040725617,10.101793874392156
aug-cc-pVDZ,toluene,11.754121011307184,12.059052795860076
aug-cc-pVDZ,benzene,9.958353324599043,10.126401950179677
aug-cc-pVDZ,cytosine,10.369458758957776,11.532495998299778
aug-cc-pVTZ,bromine,6.457016114479553,6.518567208363887
aug-cc-pVTZ,chlorine,4.401671263721462,4.485049056741517
aug-cc-pVTZ,nitrogen,1.7338943394833304,1.72209960157607
aug-cc-pVTZ,oxygen,1.6790575294528807,1.3565100013255458
aug-cc-pVTZ,carbon_monoxide,1.8333577819967022,1.959109118235414
aug-cc-pVTZ,nitrogen_monoxide,1.584249795696709,1.5649726313163779
aug-cc-pVTZ,sulfur_monoxide,3.457126212042734,3.2295298224382143
aug-cc-pVTZ,carbon_dioxide,2.353507678213847,2.638295093793641
aug-cc-pVTZ,sulfur_dioxide,3.601395123264137,3.9242772228330662
aug-cc-pVTZ,ethene,4.10632450987375,4.0006640578062695
aug-cc-pVTZ,propane,5.690248140647547,5.927312417979124
aug-cc-pVTZ,1-3-butadiene,8.390951841638156,8.037376156831908
aug-cc-pVTZ,isobutene,7.514068703242283,7.626679339345354
aug-cc-pVTZ,1-pentene,9.27811812472139,9.462021084448608
aug-cc-pVTZ,water,1.2506578970312088,1.416830770896903
aug-cc-pVTZ,methanol,2.902259335873963,3.101896062714905
aug-cc-pVTZ,ethanol,4.58422614366077,4.874574019632726
aug-cc-pVTZ,methylformate,4.588218604322605,5.006267692216691
aug-cc-pVTZ,methylacetate,6.238739682768306,6.739269743387195
aug-cc-pVTZ,acetone,5.761392131375495,6.128352803753761
aug-cc-pVTZ,acetaldehyde,4.148852989593297,4.415316917586015
aug-cc-pVTZ,acetic_acid,4.589260848154221,5.015739034623321
aug-cc-pVTZ,dimethyl_ether,4.602891985350488,4.901705310101134
aug-cc-pVTZ,N-methylacetamide,6.927634726550514,7.530896979923264
aug-cc-pVTZ,dimethyl_sulfide,6.937740050078041,7.216625426663022
aug-cc-pVTZ,dimethyl_sulfone,7.204415517179844,7.921427603298466
aug-cc-pVTZ,fluoromethane,2.3301527881826405,2.473124471175678
aug-cc-pVTZ,phosphine,4.353542501438287,4.457616487490644
aug-cc-pVTZ,hydrogen_sulfide,3.488005141777691,3.6029022042595713
